task,repetition,arm,accepted,agentSeconds,hiddenTestsPassed,fullVerifyPassed,diffCheckPassed,scopePassed,inputTokens,cachedInputTokens,outputTokens,linesAdded,linesDeleted,jaipilotReferences,buildCommandReferences
pet-transfer,1,baseline,True,259.806,True,True,True,True,896909,831744,13102,254,0,0,7
pet-transfer,1,treatment,True,599.079,True,True,True,True,2573654,2435328,24162,270,0,11,14
pet-transfer,2,baseline,True,238.11,True,True,True,True,806713,737792,12584,218,0,0,6
pet-transfer,2,treatment,True,517.639,True,True,True,True,1785716,1653504,21663,304,0,29,13
pet-transfer,3,baseline,True,396.666,True,True,True,True,1728893,1631488,18013,282,0,0,11
pet-transfer,3,treatment,True,486.259,True,True,True,True,2072498,1963776,22749,335,0,9,12
upcoming-visits,1,baseline,False,160.839,False,False,True,True,353841,308224,8536,194,0,0,5
upcoming-visits,1,treatment,False,234.354,False,False,True,True,814500,738048,10829,227,0,12,7
upcoming-visits,2,baseline,False,171.437,False,False,True,True,506870,449792,9073,195,0,0,8
upcoming-visits,2,treatment,False,230.39,False,False,True,True,668580,591616,10396,223,0,12,6
upcoming-visits,3,baseline,False,223.184,False,False,True,True,535102,484352,10768,187,0,0,6
upcoming-visits,3,treatment,False,287.167,False,False,True,True,1119728,1010432,11694,218,0,14,9
vet-specialty,1,baseline,True,132.277,True,True,True,True,381847,336640,6675,154,0,0,6
vet-specialty,1,treatment,True,329.323,True,True,True,True,1265936,1175808,13432,193,0,13,9
vet-specialty,2,baseline,True,227.538,True,True,True,True,608220,552448,10797,193,0,0,9
vet-specialty,2,treatment,True,242.198,True,True,True,True,442157,400640,10330,170,0,10,4
vet-specialty,3,baseline,True,148.456,True,True,True,True,309144,269568,7173,168,0,0,6
vet-specialty,3,treatment,True,264.444,True,True,True,True,819453,754432,11772,151,0,12,6
visit-scheduling,1,baseline,True,233.106,True,True,True,True,805422,747008,13213,248,3,0,9
visit-scheduling,1,treatment,True,433.699,True,True,True,True,2043697,1939200,17254,322,2,10,13
visit-scheduling,2,baseline,True,246.515,True,True,True,True,698853,638208,12576,259,3,0,5
visit-scheduling,2,treatment,True,401.125,True,True,True,True,1152994,1065728,18501,293,3,25,8
visit-scheduling,3,baseline,True,244.859,True,True,True,True,595689,542208,12703,295,2,0,5
visit-scheduling,3,treatment,True,419.425,True,True,True,True,1289685,1186816,17913,260,11,25,9
